Seccion;ID;Texto actual;Texto nuevo
Contacto;CONT_14;Si precisas resolverlo ya, contactame directo por llamada o WhatsApp. Sin formularios y sin esperas.;
Contacto;CONT_15;Llamar ahora;
Contacto;CONT_16;WhatsApp rapido;
Contacto;CONT_17;Ver Instagram;
Contacto;CONT_18;Telefono: 092 084 766;
Contacto;CONT_19;Atencion personalizada;
Contacto;CONT_20;Horario a convenir;
Footer;FOOT_01;TALLER GC;
Footer;FOOT_02;Tu mecanico de confianza en La Teja, Montevideo. Especialistas en mantenimiento y reparacion automotriz.;
Footer;FOOT_03;Servicios principales;
Footer;FOOT_04;Revision de motor;
Footer;FOOT_05;Sistema electrico;
Footer;FOOT_06;Frenos y suspension;
Footer;FOOT_07;Transmision;
Footer;FOOT_08;Sistema de refrigeracion;
Footer;FOOT_09;Contacto;
Footer;FOOT_10;La Teja, Montevideo;
Footer;FOOT_11;092 084 766;
Footer;FOOT_12;Atencion personalizada;
Footer;FOOT_13;Horario a convenir;
Footer;FOOT_14;@tallerg.c;
Footer;FOOT_15;© 2026 Taller GC. Todos los derechos reservados.;
Flotante;FLT_01;Escribime;
SEO;SEO_01;Taller GC | Mecanica Automotriz Profesional en La Teja, Montevideo;
SEO;SEO_02;Mecanica automotriz profesional en La Teja. Te atiendo personalmente con diagnostico claro y reparacion confiable para que vuelvas a circular con seguridad.;
SEO;SEO_03;taller mecanico montevideo, mecanica automotriz La Teja, reparacion de autos, diagnostico, mantenimiento preventivo, taller GC;
SEO;SEO_04;Taller GC - Tu mecanico de confianza en La Teja;
SEO;SEO_05;Especialistas en mantenimiento y reparacion automotriz. Presupuesto claro, trabajo garantizado y entrega responsable.;
SEO;SEO_06;Taller GC | Mecanica Automotriz en Montevideo;
SEO;SEO_07;Mecanica automotriz en La Teja. Diagnostico, reparacion y contacto inmediato por llamada o WhatsApp.;
